userId,numOfWords,messageRead,timeSpent,numOfPosts,avgPostPerCat,numOfReplies,likeReceived
1770,133,139,19,2,1,1,0
1771,0,729,71,0,0,0,0
1772,0,330,35,0,0,1,0
1773,0,360,73,1,1,0,0
1774,517,576,35,8,2,5,4
1775,0,704,85,0,0,0,0
1776,2063,494,44,22,4,20,4
1777,0,32,14,0,0,0,0
1778,0,62,9,0,0,0,0
1779,0,56,4,0,0,0,0
1780,1423,862,68,13,2,9,7
1781,0,0,0,0,0,0,0
1782,0,0,0,0,0,0,0
1783,0,163,7,0,0,0,0
1784,0,16,7,0,0,0,0
1785,0,65,8,0,0,0,0
1786,149,154,16,1,1,0,5
1787,0,1,1,0,0,0,0
1788,0,12,2,0,0,0,0
1789,89,445,44,2,1,0,0
1790,0,4,1,0,0,0,0
1791,0,0,0,0,0,0,0
1792,0,427,13,0,0,0,0
1793,137,622,30,2,1,2,0
1794,34,622,29,1,1,0,0
1795,0,3,3,0,0,0,0
1796,0,177,3,0,0,0,0
1797,53,219,17,1,1,1,0
1798,0,68,7,0,0,0,0
1799,0,474,21,0,0,0,0
1800,0,336,19,0,0,0,0
1801,43,207,20,1,1,1,4
1802,202,596,37,1,1,1,0
1803,33,1212,91,1,1,0,0
1804,0,155,30,0,0,0,0
1805,122,469,27,2,1,2,9
1806,25,78,13,1,1,0,0
1807,0,206,46,0,0,0,0
1808,155,222,30,0,0,2,0
1809,0,10,5,0,0,0,0
1810,0,8,3,0,0,0,0
1811,186,1288,111,3,1,1,9
1812,0,700,92,0,0,0,0
1813,0,0,0,0,0,0,0
1814,194,439,36,6,1,4,0
1815,0,88,12,0,0,0,0
1816,0,17,4,0,0,0,0
1817,0,76,23,0,0,0,0
1818,0,116,17,0,0,0,0
1819,304,244,26,1,1,2,22
1820,0,38,10,0,0,0,0
1821,0,168,19,0,0,0,0
1822,0,46,8,0,0,0,0
1823,807,362,31,4,1,7,1
1824,0,0,0,0,0,0,0
1825,120,58,13,2,1,1,0
1826,0,198,24,0,0,0,0
1827,55,101,13,0,0,1,0
1828,0,400,38,0,0,0,0
1829,0,292,16,0,0,0,0
1830,0,86,17,0,0,0,0
1831,0,209,18,0,0,0,0
1832,0,113,13,0,0,0,0
1833,109,222,26,1,1,0,0
1834,0,11,1,0,0,0,0
1835,0,0,0,0,0,0,0
1836,0,56,9,0,0,0,0
